space,
exclam,bcr
quotedbl,fi
numbersign,fielgnd
dollar,afgncdil
percent,kjfc
ampersand,mhajged
quotesingle,i
parenleft,jm
parenright,hk
asterisk,ilgnhmkj
plus,ilgn
comma,k
hyphen,gn
period,l
slash,kj
zero,abcdefkj
one,bc
two,abgned
three,abgncd
four,fgnbc
five,afgncd
six,afedcgn
seven,abc
eight,abcdefgn
nine,gnfabcd
colon,il
semicolon,ik
less,jgm
equal,gnd
greater,hnk
question,abnl
at,inbafed
A,abcefgn
B,abcdnil
C,afed
D,abcdil
E,afegnd
F,afegn
G,afedcn
H,fegnbc
I,aild
J,bcde
K,fegjm
L,fed
M,efhjbc
N,efhmcb
O,abcdef
P,efabgn
Q,abcdefm
R,efabgnm
S,=five
T,ail
U,fedcb
V,fekj
W,fekmcb
X,hjkm
Y,hjl
Z,ajkd
bracketleft,ahkd
backslash,hm
bracketright,ajmd
asciicircum,jb
underscore,d
grave,h
a,abgnedc
b,fedcgn
c,gned
d,egndcb
e,gnbafed
f,afeg
g,=nine
h,fegnc
i,l
j,bcd
k,fekmn
l,=L
m,eglnc
n,egnc
o,gnedc
p,=P
q,afgnbc
r,egn
s,=five
t,fedgn
u,edc
v,ek
w,ekmc
x,=X
y,fgnbcd
z,gnkd
braceleft,ahgkd
bar,il
braceright,ajnmd
asciitilde,fhj
sterling,afgedc
brokenbar,=bar
section,afgncdhm
logicalnot,gnc
degree,abgnf
plusminus,ignld
periodcentered,n
multiply,=X
divide,=slash
endash,=hyphen
emdash,=hyphen
quoteleft,h
quoteright,j
quotedblleft,hb
quotedblright,fj
dagger,=plus
daggerdbl,ilgna
bullet,=periodcentered
ellipsis,elc
minute,=quoteright
second,=quotedblright
Euro,afedg
unie650,fabc
unie651,=d
unie652,=plus
unie653,fek
unie654,bgned
unie655,afgmdkn
unie656,abcdn
unie657,=Euro
unie658,=a
unie659,=e
unie65a,=S
unie65b,=two
unie65c,ikd
unie65d,ajl
unie65e,gikd
unie65f,ajln
unie660,=P
unie661,=slash
unie662,=f
unie663,ekj
unie664,knbafgm
unie665,gmdefa
unie666,hncdegj
unie667,dcgnb
unie668,abcd
unie669,ildegnc
unie66a,fgned
unie66b,hmkn
unie66c,hmgj
unie66e,jkd
unie66f,ajk
unie670,=bar
unie671,kjbc
unie672,=L
unie673,felgd
unie674,dcb
unie675,dcnlb
unie676,egnb
unie677,fgnc
unie678,=seven
unie679,abnic
unie67a,efa
unie67b,efaig
unie67c,=O
unie67d,=U
unie67e,efabc
test,abcdefghijklmnr
